28,956
29,941
29,956
59,261
59,806
59,941
59,956
66,956
104,252
104,261
104,359
104,806
104,890
104,941
104,956
108,956
111,261
111,806
111,941
111,956
112,956
114,261
114,806
114,941
114,956
139,956
151,806
151,941
151,956
167,956
173,956
174,956
180,956
204,956
229,956
233,806
233,941
233,956
250,261
250,806
250,941
250,956
251,956
252,261
252,300
252,359
252,806
252,890
252,941
252,956
255,956
261,300
261,359
261,401
261,622
261,694
261,806
261,814
261,840
261,890
261,941
261,956
261,976
276,956
283,956
300,806
300,890
300,941
300,956
301,956
304,956
306,806
306,941
306,956
311,956
320,956
324,956
325,956
328,956
341,956
343,956
345,806
345,941
345,956
352,806
352,941
352,956
359,806
359,890
359,941
359,956
363,941
363,956
375,956
378,956
391,806
391,941
391,956
401,806
401,890
401,941
401,956
415,956
446,956
449,956
464,956
474,956
478,806
478,941
478,956
491,806
491,941
491,956
498,956
503,956
508,806
508,941
508,956
511,956
512,956
519,956
531,806
531,941
531,956
534,956
565,956
573,956
581,956
582,956
591,956
604,956
606,956
622,806
622,941
622,956
624,956
627,806
627,941
627,956
628,806
628,941
628,956
632,956
663,956
668,956
680,956
691,956
694,806
694,890
694,941
694,956
696,956
701,956
721,956
748,806
748,941
748,956
749,956
755,956
802,956
806,814
806,840
806,890
806,929
806,941
806,956
806,976
806,982
810,956
814,941
814,956
816,956
818,956
840,890
840,941
840,956
846,956
860,956
881,956
888,956
890,941
890,956
898,956
911,956
922,956
929,941
929,956
935,956
940,956
941,956
941,976
941,982
956,976
956,982
956,992
956,994
